ID,Recency,Frequency,Monetary,Cluster
926,219,1,45000,0
927,230,1,85000,0
928,337,2,1094000,0
929,122,1,315000,1
930,44,1,261000,1
931,321,1,459000,0
932,137,1,549000,1
933,301,1,110000,0
934,184,1,70000,1
935,350,1,110000,0
936,121,3,660000,1
937,388,1,277000,0
938,197,1,269000,0
939,178,2,639000,1
940,9,1,398000,1
941,373,1,200000,0
942,214,1,35000,0
